Model selection results for subset: 2be70985527782406b5ab4b5dd6b0325
Subset alignment stored here: ./analysis/phylofiles/2be70985527782406b5ab4b5dd6b0325.phy
This subset contains the following data_blocks: (Gene3, Gene1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -36610.44975    | 73240.8995      | 73241.0257192   | 73295.5960417  
HKY+I+G         | -36656.47668    | 73324.95336     | 73325.0014424   | 73357.771285   
SYM+I+G         | -36756.68437    | 73527.36874     | 73527.4328866   | 73565.6563192  
GTR+G           | -36835.50914    | 73689.01828     | 73689.121491    | 73738.2451676  
HKY+G           | -36883.01317    | 73776.02634     | 73776.0606649   | 73803.3746109  
SYM+G           | -36978.97893    | 73969.95786     | 73970.0059424   | 74002.775785   
K80+I+G         | -37027.70151    | 74061.40302     | 74061.4167343   | 74077.8119825  
K80+G           | -37242.36721    | 74488.73442     | 74488.7412732   | 74499.6737283  
GTR+I           | -39278.75842    | 78575.51684     | 78575.620051    | 78624.7437276  
SYM+I           | -39297.40129    | 78606.80258     | 78606.8506624   | 78639.620505   
HKY+I           | -39411.26227    | 78832.52454     | 78832.5588649   | 78859.8728109  
K80+I           | -39743.63855    | 79491.2771      | 79491.2839532   | 79502.2164083  
F81+I+G         | -40731.64205    | 81473.2841      | 81473.3184249   | 81500.6323709  
F81+G           | -40917.82126    | 81843.64252     | 81843.6653902   | 81865.5211367  
JC+I+G          | -41209.37396    | 82422.74792     | 82422.7547732   | 82433.6872283  
JC+G            | -41388.96073    | 82779.92146     | 82779.9237431   | 82785.3911142  
F81+I           | -43344.66161    | 86697.32322     | 86697.3460902   | 86719.2018367  
JC+I            | -43713.95656    | 87429.91312     | 87429.9154031   | 87435.3827742  
SYM             | -45110.59977    | 90231.19954     | 90231.2338649   | 90258.5478109  
GTR             | -45269.00272    | 90554.00544     | 90554.0879615   | 90597.7626734  
HKY             | -45578.41951    | 91164.83902     | 91164.8618902   | 91186.7176367  
K80             | -45776.11033    | 91554.22066     | 91554.2229431   | 91559.6903142  
F81             | -49331.01559    | 98668.03118     | 98668.0448943   | 98684.4401425  
JC              | -49600.05447    | 99200.10894     | 99200.10894     | 99200.10894    
