Model selection results for subset: 49eceac141bf1dbdcb99dc95ab911dcb
Subset alignment stored here: ./analysis/phylofiles/49eceac141bf1dbdcb99dc95ab911dcb.phy
This subset contains the following data_blocks: (Gene3, Gene2, Gene4)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -63293.66478    | 126607.32956    | 126607.397045   | 126668.25807   
HKY+I+G         | -63323.66152    | 126659.32304    | 126659.348775   | 126695.880146  
SYM+I+G         | -63418.52553    | 126851.05106    | 126851.085384   | 126893.701017  
GTR+G           | -63592.94022    | 127203.88044    | 127203.935638   | 127258.716099  
HKY+G           | -63625.43258    | 127260.86516    | 127260.883537   | 127291.329415  
K80+I+G         | -63634.64442    | 127275.28884    | 127275.296186   | 127293.567393  
SYM+G           | -63718.5827     | 127449.1654     | 127449.191135   | 127485.722506  
K80+G           | -63919.27513    | 127842.55026    | 127842.553932   | 127854.735962  
SYM+I           | -67530.69753    | 135073.39506    | 135073.420795   | 135109.952166  
GTR+I           | -67528.98483    | 135075.96966    | 135076.024858   | 135130.805319  
HKY+I           | -67687.46412    | 135384.92824    | 135384.946617   | 135415.392495  
K80+I           | -67985.94563    | 135975.89126    | 135975.894932   | 135988.076962  
F81+I+G         | -69406.54299    | 138823.08598    | 138823.104357   | 138853.550235  
F81+G           | -69663.5281     | 139335.0562     | 139335.068447   | 139359.427604  
JC+I+G          | -69961.76124    | 139927.52248    | 139927.526152   | 139939.708182  
JC+G            | -70203.69594    | 140409.39188    | 140409.393104   | 140415.484731  
F81+I           | -73633.15106    | 147274.30212    | 147274.314367   | 147298.673524  
JC+I            | -74040.13419    | 148082.26838    | 148082.269604   | 148088.361231  
SYM             | -76885.29978    | 153780.59956    | 153780.617937   | 153811.063815  
GTR             | -77012.21113    | 154040.42226    | 154040.466405   | 154089.165068  
HKY             | -77315.27089    | 154638.54178    | 154638.554027   | 154662.913184  
K80             | -77518.84688    | 155039.69376    | 155039.694984   | 155045.786611  
F81             | -83008.06592    | 166022.13184    | 166022.139186   | 166040.410393  
JC              | -83342.20122    | 166684.40244    | 166684.40244    | 166684.40244   
