Model selection results for subset: 502fa2e4cd3619dd50d2d821468f3557
Subset alignment stored here: ./analysis/phylofiles/502fa2e4cd3619dd50d2d821468f3557.phy
This subset contains the following data_blocks: (Gene4, Gene2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
HKY+I+G         | -32552.7681     | 65117.5362      | 65117.575804    | 65151.5138271  
GTR+I+G         | -32538.86244    | 65097.72488     | 65097.8288006   | 65154.3542585  
SYM+I+G         | -32556.44858    | 65126.89716     | 65126.9499902   | 65166.537725   
K80+I+G         | -32594.31495    | 65194.6299      | 65194.6411994   | 65211.6187136  
GTR+G           | -32665.99739    | 65349.99478     | 65350.0797658   | 65400.9612207  
HKY+G           | -32682.28249    | 65374.56498     | 65374.5932552   | 65402.8796693  
SYM+G           | -32682.33737    | 65376.67474     | 65376.714344    | 65410.6523671  
K80+G           | -32723.91327    | 65451.82654     | 65451.8321871   | 65463.1524157  
GTR+I           | -34514.27574    | 69046.55148     | 69046.6364658   | 69097.5179207  
SYM+I           | -34527.88917    | 69067.77834     | 69067.817944    | 69101.7559671  
HKY+I           | -34567.34196    | 69144.68392     | 69144.7121952   | 69172.9986093  
K80+I           | -34627.68883    | 69259.37766     | 69259.3833071   | 69270.7035357  
F81+I+G         | -35141.23894    | 70292.47788     | 70292.5061552   | 70320.7925693  
JC+I+G          | -35225.63908    | 70455.27816     | 70455.2838071   | 70466.6040357  
F81+G           | -35269.92371    | 70547.84742     | 70547.8662613   | 70570.4991714  
JC+G            | -35351.45894    | 70704.91788     | 70704.9197615   | 70710.5808179  
F81+I           | -37106.37529    | 74220.75058     | 74220.7694213   | 74243.4023314  
JC+I            | -37170.27178    | 74342.54356     | 74342.5454415   | 74348.2064979  
SYM             | -38797.65964    | 77605.31928     | 77605.3475552   | 77633.6339693  
GTR             | -38796.39956    | 77608.79912     | 77608.8670766   | 77654.1026228  
HKY             | -38867.70169    | 77743.40338     | 77743.4222213   | 77766.0551314  
K80             | -38915.66813    | 77833.33626     | 77833.3381415   | 77838.9991979  
F81             | -41308.64688    | 82623.29376     | 82623.3050594   | 82640.2825736  
JC              | -41366.85252    | 82733.70504     | 82733.70504     | 82733.70504    
