Model selection results for subset: 5218a5b350bdf7ae9d6da22985af8ec0
Subset alignment stored here: ./analysis/phylofiles/5218a5b350bdf7ae9d6da22985af8ec0.phy
This subset contains the following data_blocks: (Gene4)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -13265.87525    | 26551.7505      | 26551.9057576   | 26604.3908014  
HKY+I+G         | -13283.36416    | 26578.72832     | 26578.7874333   | 26610.3125009  
GTR+G           | -13278.62522    | 26575.25044     | 26575.3773794   | 26622.6267113  
HKY+G           | -13295.98344    | 26601.96688     | 26602.0090741   | 26628.2870307  
SYM+I+G         | -13293.30932    | 26600.61864     | 26600.6975132   | 26637.466851   
SYM+G           | -13306.97992    | 26625.95984     | 26626.0189533   | 26657.5440209  
K80+I+G         | -13328.07886    | 26662.15772     | 26662.1745739   | 26677.9498104  
K80+G           | -13340.94234    | 26685.88468     | 26685.8931011   | 26696.4127403  
GTR+I           | -13644.97144    | 27307.94288     | 27308.0698194   | 27355.3191513  
HKY+I           | -13662.96545    | 27335.9309      | 27335.9730941   | 27362.2510507  
F81+I+G         | -13676.74809    | 27363.49618     | 27363.5383741   | 27389.8163307  
SYM+I           | -13679.62159    | 27371.24318     | 27371.3022933   | 27402.8273609  
F81+G           | -13688.83429    | 27385.66858     | 27385.6966896   | 27406.7247006  
K80+I           | -13707.93449    | 27419.86898     | 27419.8774011   | 27430.3970403  
JC+I+G          | -13720.49306    | 27444.98612     | 27444.9945411   | 27455.5141803  
JC+G            | -13732.99405    | 27467.9881      | 27467.990905    | 27473.2521301  
F81+I           | -14050.60516    | 28109.21032     | 28109.2384296   | 28130.2664406  
JC+I            | -14095.32211    | 28192.64422     | 28192.647025    | 28197.9082501  
GTR             | -14335.29302    | 28686.58604     | 28686.6875199   | 28728.6982811  
HKY             | -14353.26021    | 28714.52042     | 28714.5485296   | 28735.5765406  
SYM             | -14365.31165    | 28740.6233      | 28740.6654941   | 28766.9434507  
K80             | -14396.61174    | 28795.22348     | 28795.226285    | 28800.4875101  
F81             | -14736.2606     | 29478.5212      | 29478.5380539   | 29494.3132904  
JC              | -14777.48264    | 29554.96528     | 29554.96528     | 29554.96528    
