Model selection results for subset: 54fc9d7849dfa031b85750f9229d8ddc
Subset alignment stored here: ./analysis/phylofiles/54fc9d7849dfa031b85750f9229d8ddc.phy
This subset contains the following data_blocks: (Gene2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -18723.38606    | 37466.77212     | 37467.0914233   | 37512.2829234  
HKY+I+G         | -18744.94568    | 37501.89136     | 37502.0125721   | 37529.197842   
SYM+I+G         | -18769.60715    | 37553.2143      | 37553.3761497   | 37585.0718623  
K80+I+G         | -18852.537      | 37711.074       | 37711.1084828   | 37724.727241   
GTR+G           | -18950.78409    | 37919.56818     | 37919.8290496   | 37960.527903   
HKY+G           | -18985.55373    | 37981.10746     | 37981.1939153   | 38003.8628617  
SYM+G           | -18998.82102    | 38009.64204     | 38009.7632521   | 38036.948522   
K80+G           | -19073.31277    | 38150.62554     | 38150.6427566   | 38159.7277007  
GTR+I           | -19626.98076    | 39271.96152     | 39272.2223896   | 39312.921243   
SYM+I           | -19662.02646    | 39336.05292     | 39336.1741321   | 39363.359402   
HKY+I           | -19671.97276    | 39353.94552     | 39354.0319753   | 39376.7009217  
K80+I           | -19742.80215    | 39489.6043      | 39489.6215166   | 39498.7064607  
F81+I+G         | -21082.86691    | 42175.73382     | 42175.8202753   | 42198.4892217  
F81+G           | -21263.67469    | 42535.34938     | 42535.406934    | 42553.5537013  
JC+I+G          | -21296.86727    | 42597.73454     | 42597.7517566   | 42606.8367007  
JC+G            | -21473.78082    | 42949.56164     | 42949.5673707   | 42954.1127203  
F81+I           | -21878.9551     | 43765.9102      | 43765.967754    | 43784.1145213  
JC+I            | -22077.10159    | 44156.20318     | 44156.2089107   | 44160.7542603  
SYM             | -23551.30934    | 47112.61868     | 47112.7051353   | 47135.3740817  
GTR             | -23571.09129    | 47158.18258     | 47158.3909736   | 47194.5912227  
HKY             | -23652.34466    | 47312.68932     | 47312.746874    | 47330.8936413  
K80             | -23712.45486    | 47426.90972     | 47426.9154507   | 47431.4608003  
F81             | -25771.2621     | 51548.5242      | 51548.5586828   | 51562.177441   
JC              | -25929.24833    | 51858.49666     | 51858.49666     | 51858.49666    
