Model selection results for subset: 66f24c69ff7ad3407f6c81b045615acb
Subset alignment stored here: ./analysis/phylofiles/66f24c69ff7ad3407f6c81b045615acb.phy
This subset contains the following data_blocks: (Gene4, Gene1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
K80+I+G         | -19388.85599    | 38783.71198     | 38783.7237736   | 38800.5726243  
HKY+I+G         | -19381.22543    | 38774.45086     | 38774.4921986   | 38808.1721486  
GTR+I+G         | -19367.34433    | 38754.68866     | 38754.7971413   | 38810.8908077  
SYM+I+G         | -19379.44564    | 38772.89128     | 38772.9464252   | 38812.2327834  
K80+G           | -19426.62645    | 38857.2529      | 38857.2587939   | 38868.4933295  
HKY+G           | -19418.01878    | 38846.03756     | 38846.067073    | 38874.1386339  
GTR+G           | -19403.53138    | 38825.06276     | 38825.1514737   | 38875.6446929  
SYM+G           | -19417.62572    | 38847.25144     | 38847.2927786   | 38880.9727286  
GTR+I           | -19971.25956    | 39960.51912     | 39960.6078337   | 40011.1010529  
K80+I           | -19998.01248    | 40000.02496     | 40000.0308539   | 40011.2653895  
HKY+I           | -19989.80845    | 39989.6169      | 39989.646413    | 40017.7179739  
SYM+I           | -19989.54534    | 39991.09068     | 39991.1320186   | 40024.8119686  
JC+I+G          | -20196.76658    | 40397.53316     | 40397.5390539   | 40408.7735895  
F81+I+G         | -20188.75211    | 40387.50422     | 40387.533733    | 40415.6052939  
JC+G            | -20233.18685    | 40468.3737      | 40468.3756637   | 40473.9939148  
F81+G           | -20224.3419     | 40456.6838      | 40456.7034657   | 40479.1646591  
JC+I            | -20792.26461    | 41586.52922     | 41586.5311837   | 41592.1494348  
F81+I           | -20781.55379    | 41571.10758     | 41571.1272457   | 41593.5884391  
K80             | -21305.54364    | 42613.08728     | 42613.0892437   | 42618.7074948  
SYM             | -21293.9987     | 42597.9974      | 42598.026913    | 42626.0984739  
GTR             | -21286.75923    | 42589.51846     | 42589.589396    | 42634.4801782  
HKY             | -21302.25312    | 42612.50624     | 42612.5259057   | 42634.9870991  
JC              | -22084.78619    | 44169.57238     | 44169.57238     | 44169.57238    
F81             | -22078.86176    | 44163.72352     | 44163.7353136   | 44180.5841643  
