Model selection results for subset: 7288d123717e2c31988aeba858a32286
Subset alignment stored here: ./analysis/phylofiles/7288d123717e2c31988aeba858a32286.phy
This subset contains the following data_blocks: (Gene3, Gene2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -49337.43403    | 98694.86806     | 98694.9881473   | 98750.0595596  
HKY+I+G         | -49375.49546    | 98762.99092     | 98763.0366716   | 98796.1058197  
SYM+I+G         | -49539.13203    | 99092.26406     | 99092.3250954   | 99130.8981097  
GTR+G           | -49738.77471    | 99495.54942     | 99495.6476197   | 99545.2217696  
HKY+G           | -49808.7332     | 99627.4664      | 99627.4990619   | 99655.0621498  
K80+I+G         | -49854.73546    | 99715.47092     | 99715.4839706   | 99732.0283699  
SYM+G           | -49956.27003    | 99924.54006     | 99924.5858116   | 99957.6549597  
K80+G           | -50226.01465    | 100456.0293     | 100456.035822   | 100467.0676    
GTR+I           | -52283.31984    | 104584.63968    | 104584.73788    | 104634.31203   
HKY+I           | -52375.10707    | 104760.21414    | 104760.246802   | 104787.80989   
SYM+I           | -52387.44428    | 104786.88856    | 104786.934312   | 104820.00346   
K80+I           | -52773.14392    | 105550.28784    | 105550.294362   | 105561.32614   
F81+I+G         | -55174.9009     | 110359.8018     | 110359.834462   | 110387.39755   
F81+G           | -55468.63846    | 110945.27692    | 110945.298683   | 110967.35352   
JC+I+G          | -56032.35728    | 112068.71456    | 112068.721082   | 112079.75286   
JC+G            | -56310.56588    | 112623.13176    | 112623.133933   | 112628.65091   
F81+I           | -57906.29003    | 115820.58006    | 115820.601823   | 115842.65666   
JC+I            | -58644.02125    | 117290.0425     | 117290.044673   | 117295.56165   
SYM             | -61177.12871    | 122364.25742    | 122364.290082   | 122391.85317   
GTR             | -61294.94358    | 122605.88716    | 122605.965677   | 122650.04036   
HKY             | -61552.48588    | 123112.97176    | 123112.993523   | 123135.04836   
K80             | -61840.44626    | 123682.89252    | 123682.894693   | 123688.41167   
F81             | -66854.86708    | 133715.73416    | 133715.747211   | 133732.29161   
JC              | -67450.51053    | 134901.02106    | 134901.02106    | 134901.02106   
