Model selection results for subset: 9142703c26bef2c809a6dcc382cd834f
Subset alignment stored here: ./analysis/phylofiles/9142703c26bef2c809a6dcc382cd834f.phy
This subset contains the following data_blocks: (Gene3, Gene1, Gene2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -55376.25199    | 110772.50398    | 110772.594033   | 110830.558726  
HKY+I+G         | -55440.09975    | 110892.1995     | 110892.233828   | 110927.032348  
SYM+I+G         | -55563.54713    | 111141.09426    | 111141.140049   | 111181.732582  
GTR+G           | -55807.60119    | 111633.20238    | 111633.27603    | 111685.451652  
HKY+G           | -55884.33165    | 111778.6633     | 111778.68781    | 111807.690673  
K80+I+G         | -55921.30813    | 111848.61626    | 111848.626056   | 111866.032684  
SYM+G           | -55998.41581    | 112008.83162    | 112008.865948   | 112043.664468  
K80+G           | -56323.36174    | 112650.72348    | 112650.728376   | 112662.334429  
GTR+I           | -59017.16288    | 118052.32576    | 118052.39941    | 118104.575032  
SYM+I           | -59085.89537    | 118183.79074    | 118183.825068   | 118218.623588  
HKY+I           | -59150.4961     | 118310.9922     | 118311.01671    | 118340.019573  
K80+I           | -59577.37087    | 119158.74174    | 119158.746636   | 119170.352689  
F81+I+G         | -61827.42105    | 123664.8421     | 123664.86661    | 123693.869473  
F81+G           | -62159.53588    | 124327.07176    | 124327.088093   | 124350.293659  
JC+I+G          | -62547.95737    | 125099.91474    | 125099.919636   | 125111.525689  
JC+G            | -62864.09483    | 125730.18966    | 125730.191291   | 125735.995135  
F81+I           | -65279.39524    | 130566.79048    | 130566.806813   | 130590.012379  
JC+I            | -65873.96732    | 131749.93464    | 131749.936271   | 131755.740115  
SYM             | -68717.73118    | 137445.46236    | 137445.48687    | 137474.489733  
GTR             | -68869.01765    | 137754.0353     | 137754.094196   | 137800.479097  
HKY             | -69220.62277    | 138449.24554    | 138449.261873   | 138472.467439  
K80             | -69508.33874    | 139018.67748    | 139018.679111   | 139024.482955  
F81             | -75084.46087    | 150174.92174    | 150174.931536   | 150192.338164  
JC              | -75544.26914    | 151088.53828    | 151088.53828    | 151088.53828   
