Model selection results for subset: a1b76e38ab08c01721f5f903b4f9eeb1
Subset alignment stored here: ./analysis/phylofiles/a1b76e38ab08c01721f5f903b4f9eeb1.phy
This subset contains the following data_blocks: (Gene3, Gene4)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -44409.6712     | 88839.3424      | 88839.4283375   | 88897.8629021  
HKY+I+G         | -44445.39057    | 88902.78114     | 88902.8139013   | 88937.8934412  
SYM+I+G         | -44497.90639    | 89009.81278     | 89009.8564788   | 89050.7771315  
GTR+G           | -44563.82262    | 89145.64524     | 89145.715525    | 89198.3136919  
HKY+G           | -44599.84078    | 89209.68156     | 89209.7049518   | 89238.941811   
K80+I+G         | -44658.87074    | 89323.74148     | 89323.7508294   | 89341.2976306  
SYM+G           | -44647.37509    | 89306.75018     | 89306.7829413   | 89341.8624812  
K80+G           | -44807.89254    | 89619.78508     | 89619.7897529   | 89631.4891804  
SYM+I           | -47551.54667    | 95115.09334     | 95115.1261013   | 95150.2056412  
GTR+I           | -47570.16605    | 95158.3321      | 95158.402385    | 95211.0005519  
HKY+I           | -47762.27142    | 95534.54284     | 95534.5662318   | 95563.803091   
K80+I           | -47952.88189    | 95909.76378     | 95909.7684529   | 95921.4678804  
F81+I+G         | -48272.46762    | 96554.93524     | 96554.9586318   | 96584.195491   
F81+G           | -48416.07701    | 96840.15402     | 96840.1696085   | 96863.5622208  
JC+I+G          | -48585.35719    | 97174.71438     | 97174.7190529   | 97186.4184804  
JC+G            | -48723.65075    | 97449.3015      | 97449.303057    | 97455.1535502  
F81+I           | -51514.06598    | 103036.13196    | 103036.147548   | 103059.540161  
JC+I            | -51714.96387    | 103431.92774    | 103431.929297   | 103437.77979   
SYM             | -53198.21697    | 106406.43394    | 106406.457332   | 106435.694191  
GTR             | -53323.935      | 106663.87       | 106663.926206   | 106710.686402  
HKY             | -53602.56316    | 107213.12632    | 107213.141908   | 107236.534521  
K80             | -53707.77179    | 107417.54358    | 107417.545137   | 107423.39563   
F81             | -57194.62626    | 114395.25252    | 114395.261869   | 114412.808671  
JC              | -57346.19683    | 114692.39366    | 114692.39366    | 114692.39366   
