Model selection results for subset: a595b00badb1eddeb670025c10bc58f0
Subset alignment stored here: ./analysis/phylofiles/a595b00badb1eddeb670025c10bc58f0.phy
This subset contains the following data_blocks: (Gene1, Gene2)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -24740.17769    | 49500.35538     | 49500.5246108   | 49552.1408348  
SYM+I+G         | -24787.32071    | 49588.64142     | 49588.7273755   | 49624.8912384  
HKY+I+G         | -24795.21396    | 49602.42792     | 49602.4923372   | 49633.4991929  
K80+I+G         | -24929.79999    | 49865.59998     | 49865.6183427   | 49881.1356165  
GTR+G           | -24990.73523    | 49999.47046     | 49999.6088151   | 50046.0773694  
SYM+G           | -25036.20671    | 50084.41342     | 50084.4778372   | 50115.4846929  
HKY+G           | -25046.8674     | 50103.7348      | 50103.780777    | 50129.6275274  
K80+G           | -25163.25062    | 50330.50124     | 50330.5104143   | 50340.858331   
GTR+I           | -26302.47527    | 52622.95054     | 52623.0888951   | 52669.5574494  
SYM+I           | -26322.07534    | 52656.15068     | 52656.2150972   | 52687.2219529  
HKY+I           | -26378.77257    | 52767.54514     | 52767.591117    | 52793.4378674  
K80+I           | -26489.26114    | 52982.52228     | 52982.5314543   | 52992.879371   
F81+I+G         | -27675.46436    | 55360.92872     | 55360.974697    | 55386.8214474  
JC+I+G          | -27828.14523    | 55660.29046     | 55660.2996343   | 55670.647551   
F81+G           | -27874.11137    | 55756.22274     | 55756.2533679   | 55776.9369219  
JC+G            | -28022.30457    | 56046.60914     | 56046.6121958   | 56051.7876855  
F81+I           | -29125.10144    | 58258.20288     | 58258.2335079   | 58278.9170619  
JC+I            | -29251.745      | 58505.49        | 58505.4930558   | 58510.6685455  
SYM             | -30862.08182    | 61734.16364     | 61734.209617    | 61760.0563674  
GTR             | -30904.79466    | 61825.58932     | 61825.6999191   | 61867.0176839  
HKY             | -31057.75504    | 62123.51008     | 62123.5407079   | 62144.2242619  
K80             | -31124.81033    | 62251.62066     | 62251.6237158   | 62256.7992055  
F81             | -33680.49804    | 67366.99608     | 67367.0144427   | 67382.5317165  
JC              | -33771.57536    | 67543.15072     | 67543.15072     | 67543.15072    
