Model selection results for subset: b3392549ec098e5cf5d3f220df8c25b7
Subset alignment stored here: ./analysis/phylofiles/b3392549ec098e5cf5d3f220df8c25b7.phy
This subset contains the following data_blocks: (Gene3)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
GTR+I+G         | -30580.01298    | 61180.02596     | 61180.2203063   | 61230.4400766  
HKY+I+G         | -30595.27184    | 61202.54368     | 61202.6176237   | 61232.79215    
SYM+I+G         | -30744.88439    | 61503.76878     | 61503.8674584   | 61539.0586616  
GTR+G           | -30747.74051    | 61513.48102     | 61513.6398903   | 61558.853725   
HKY+G           | -30782.33109    | 61574.66218     | 61574.7149504   | 61599.8692383  
SYM+G           | -30935.82861    | 61883.65722     | 61883.7311637   | 61913.90569    
K80+I+G         | -30978.32639    | 61962.65278     | 61962.6738511   | 61977.777015   
K80+G           | -31138.08392    | 62280.16784     | 62280.1783663   | 62290.2506633  
GTR+I           | -32621.70866    | 65261.41732     | 65261.5761903   | 65306.790025   
SYM+I           | -32672.95273    | 65357.90546     | 65357.9794037   | 65388.15393    
HKY+I           | -32678.10289    | 65366.20578     | 65366.2585504   | 65391.4128383  
K80+I           | -33012.38817    | 66028.77634     | 66028.7868663   | 66038.8591633  
F81+I+G         | -34061.99042    | 68133.98084     | 68134.0336104   | 68159.1878983  
F81+G           | -34190.12339    | 68388.24678     | 68388.2819294   | 68408.4124267  
JC+I+G          | -34708.57486    | 69421.14972     | 69421.1602463   | 69431.2325433  
JC+G            | -34832.3735     | 69666.747       | 69666.7505057   | 69671.7884117  
F81+I           | -36022.74268    | 72053.48536     | 72053.5205094   | 72073.6510067  
JC+I            | -36552.82734    | 73107.65468     | 73107.6581857   | 73112.6960917  
SYM             | -37568.77802    | 75147.55604     | 75147.6088104   | 75172.7630983  
GTR             | -37701.70653    | 75419.41306     | 75419.5400441   | 75459.7443533  
HKY             | -37884.33505    | 75776.6701      | 75776.7052494   | 75796.8357467  
K80             | -38100.95517    | 76203.91034     | 76203.9138457   | 76208.9517517  
F81             | -41076.52698    | 82159.05396     | 82159.0750311   | 82174.178195   
JC              | -41498.97398    | 82997.94796     | 82997.94796     | 82997.94796    
