Model selection results for subset: eecdce0042424c59b0e2deb1dc35b813
Subset alignment stored here: ./analysis/phylofiles/eecdce0042424c59b0e2deb1dc35b813.phy
This subset contains the following data_blocks: (Gene1)
Models are organised according to their BIC scores

Model           | lNL             | AIC             | AICc            | BIC            
SYM+I+G         | -5932.35967     | 11878.71934     | 11878.905078    | 11909.6250187  
GTR+I+G         | -5928.56496     | 11877.12992     | 11877.4965867   | 11921.2808896  
SYM+G           | -5964.23234     | 11940.46468     | 11940.6037528   | 11966.9552618  
GTR+G           | -5961.79874     | 11941.59748     | 11941.8969808   | 11981.3333526  
K80+I+G         | -5995.24575     | 11996.4915      | 11996.5310387   | 12009.7367909  
HKY+I+G         | -5987.85136     | 11987.70272     | 11987.8417928   | 12014.1933018  
K80+G           | -6027.92271     | 12059.84542     | 12059.8651568   | 12068.6756139  
HKY+G           | -6019.93193     | 12049.86386     | 12049.9630336   | 12071.9393448  
SYM+I           | -6158.77945     | 12329.5589      | 12329.6979728   | 12356.0494818  
GTR+I           | -6158.17086     | 12334.34172     | 12334.6412208   | 12374.0775926  
K80+I           | -6229.07689     | 12462.15378     | 12462.1735168   | 12470.9839739  
HKY+I           | -6227.73378     | 12465.46756     | 12465.5667336   | 12487.5430448  
JC+I+G          | -6457.86278     | 12919.72556     | 12919.7452968   | 12928.5557539  
F81+I+G         | -6465.59454     | 12941.18908     | 12941.2882536   | 12963.2645648  
JC+G            | -6488.36951     | 12978.73902     | 12978.7455881   | 12983.154117   
F81+G           | -6496.2089      | 13000.4178      | 13000.4838066   | 13018.0781878  
JC+I            | -6680.93695     | 13363.8739      | 13363.8804681   | 13368.288997   
F81+I           | -6689.49493     | 13386.98986     | 13387.0558666   | 13404.6502478  
SYM             | -6777.33453     | 13564.66906     | 13564.7682336   | 13586.7445448  
GTR             | -6791.07602     | 13598.15204     | 13598.3912427   | 13633.4728157  
K80             | -6860.06777     | 13722.13554     | 13722.1421081   | 13726.550637   
HKY             | -6872.28437     | 13752.56874     | 13752.6347466   | 13770.2291278  
JC              | -7302.11131     | 14604.22262     | 14604.22262     | 14604.22262    
F81             | -7316.09616     | 14638.19232     | 14638.2318587   | 14651.4376109  
